n	x	y	T(x,y)	Erro_Absoluto
19	7.5556	0.0000	30.0247	1.259259
19	7.5556	0.3333	34.8395	1.259259
19	7.5556	0.6667	39.2099	1.259259
19	7.5556	1.0000	43.1358	1.259259
19	7.5556	1.3333	46.6173	1.259259
19	7.5556	1.6667	49.6543	1.259259
19	7.5556	2.0000	52.2469	1.259259
19	7.5556	2.3333	54.3951	1.259259
19	7.5556	2.6667	56.0988	1.259259
19	7.5556	3.0000	57.3580	1.259259
19	7.5556	3.3333	58.1728	1.259259
19	7.5556	3.6667	58.5432	1.259259
19	7.5556	4.0000	58.4691	1.259259
19	7.5556	4.3333	57.9506	1.259259
19	7.5556	4.6667	56.9877	1.259259
19	7.5556	5.0000	55.5802	1.259259
19	7.5556	5.3333	53.7284	1.259259
19	7.5556	5.6667	51.4321	1.259259
19	7.5556	6.0000	48.6914	1.259259
19	8.0000	0.0000	24.0000	1.259259
19	8.0000	0.3333	29.1111	1.259259
19	8.0000	0.6667	33.7778	1.259259
19	8.0000	1.0000	38.0000	1.259259
19	8.0000	1.3333	41.7778	1.259259
19	8.0000	1.6667	45.1111	1.259259
19	8.0000	2.0000	48.0000	1.259259
19	8.0000	2.3333	50.4444	1.259259
19	8.0000	2.6667	52.4444	1.259259
19	8.0000	3.0000	54.0000	1.259259
19	8.0000	3.3333	55.1111	1.259259
19	8.0000	3.6667	55.7778	1.259259
19	8.0000	4.0000	56.0000	1.259259
19	8.0000	4.3333	55.7778	1.259259
19	8.0000	4.6667	55.1111	1.259259
19	8.0000	5.0000	54.0000	1.259259
19	8.0000	5.3333	52.4444	1.259259
19	8.0000	5.6667	50.4444	1.259259
19	8.0000	6.0000	48.0000	1.259259
25	0.0000	0.0000	72.0000	0.944444
25	0.0000	0.2500	71.8750	0.944444
25	0.0000	0.5000	71.5000	0.944444
25	0.0000	0.7500	70.8750	0.944444
25	0.0000	1.0000	70.0000	0.944444
25	0.0000	1.2500	68.8750	0.944444
25	0.0000	1.5000	67.5000	0.944444
25	0.0000	1.7500	65.8750	0.944444
25	0.0000	2.0000	64.0000	0.944444
25	0.0000	2.2500	61.8750	0.944444
25	0.0000	2.5000	59.5000	0.944444
25	0.0000	2.7500	56.8750	0.944444
25	0.0000	3.0000	54.0000	0.944444
25	0.0000	3.2500	50.8750	0.944444
25	0.0000	3.5000	47.5000	0.944444
25	0.0000	3.7500	43.8750	0.944444
25	0.0000	4.0000	40.0000	0.944444
25	0.0000	4.2500	35.8750	0.944444
25	0.0000	4.5000	31.5000	0.944444
25	0.0000	4.7500	26.8750	0.944444
25	0.0000	5.0000	22.0000	0.944444
25	0.0000	5.2500	16.8750	0.944444
25	0.0000	5.5000	11.5000	0.944444
25	0.0000	5.7500	5.8750	0.944444
25	0.0000	6.0000	0.0000	0.944444
25	0.3333	0.0000	72.5556	0.944444
25	0.3333	0.2500	72.5972	0.944444
25	0.3333	0.5000	72.3889	0.944444
25	0.3333	0.7500	71.9306	0.944444
25	0.3333	1.0000	71.2222	0.944444
25	0.3333	1.2500	70.2639	0.944444
25	0.3333	1.5000	69.0556	0.944444
25	0.3333	1.7500	67.5972	0.944444
25	0.3333	2.0000	65.8889	0.944444
25	0.3333	2.2500	63.9306	0.944444
25	0.3333	2.5000	61.7222	0.944444
25	0.3333	2.7500	59.2639	0.944444
25	0.3333	3.0000	56.5556	0.944444
25	0.3333	3.2500	53.5972	0.944444
25	0.3333	3.5000	50.3889	0.944444
25	0.3333	3.7500	46.9306	0.944444
25	0.3333	4.0000	43.2222	0.944444
25	0.3333	4.2500	39.2639	0.944444
25	0.3333	4.5000	35.0556	0.944444
25	0.3333	4.7500	30.5972	0.944444
25	0.3333	5.0000	25.8889	0.944444
25	0.3333	5.2500	20.9306	0.944444
25	0.3333	5.5000	15.7222	0.944444
25	0.3333	5.7500	10.2639	0.944444
25	0.3333	6.0000	4.5556	0.944444
25	0.6667	0.0000	72.8889	0.944444
